rank,song_title,artist_name,last_week,peak_pos,weeks_on_chart
1,Choosin' Texas,Ella Langley,1,1,25
2,Man I Need,Olivia Dean,2,1,33
3,I Just Might,Bruno Mars,3,1,13
4,Ordinary,Alex Warren,4,1,60
5,Where Is My Husband!,RAYE,5,5,29
6,So Easy (To Fall In Love),Olivia Dean,9,6,28
7,Opalite,Taylor Swift,7,2,27
8,The Fate Of Ophelia,Taylor Swift,8,1,27
9,Iloveitiloveitiloveit,Bella Kay,10,9,8
10,Babydoll,Dominic Fike,11,10,18
11,Dracula,Tame Impala & JENNIE,13,11,28
12,Fever Dream,Alex Warren,14,10,6
13,Stateside,PinkPantheress With Zara Larsson,12,6,15
14,Swim,BTS,6,5,3
15,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",15,1,41
16,Be Her,Ella Langley,21,16,8
17,Back To Friends,sombr,16,9,44
18,Sleepless In A Hotel Room,Luke Combs,17,14,14
19,E85,Don Toliver,18,18,10
20,Homewrecker,sombr,19,18,9
21,Risk It All,Bruno Mars,23,9,6
22,End Of Beginning,Djo,22,5,36
23,American Girls,Harry Styles,20,5,5
24,White Keys,Dominic Fike,24,24,8
25,The Great Divide,Noah Kahan,26,2,10
26,When Did You Get Hot?,Sabrina Carpenter,30,19,32
27,Be By You,Luke Combs,29,18,8
28,Raindance,Dave & Tems,27,25,17
29,Porch Light,Noah Kahan,31,10,4
30,Father,Ye & Travis Scott,25,25,2
31,Midnight Sun,Zara Larsson,33,31,12
32,Earrings,Malcolm Todd,57,32,5
33,Die On This Hill,Sienna Spiro,34,26,21
34,Plastic Cigarette,Zach Bryan,36,11,13
35,20 Cigarettes,Morgan Wallen,35,33,35
36,Brunette,Tucker Wetmore,40,36,34
37,Rein Me In,Sam Fender & Olivia Dean,39,37,5
38,All The Love,Ye & Andre Troutman,28,28,2
39,Loving Life Again,Ella Langley,47,39,3
40,Body,Don Toliver,37,21,10
41,Days Like These,Luke Combs,38,31,17
42,Change My Mind,Riley Green,53,42,7
43,The Way We Touch,Charlotte Cardin,49,43,4
44,Freakin' Out,Dexter And The Moonrocks,76,44,3
45,Body To Body,BTS,32,20,3
46,Elizabeth Taylor,Taylor Swift,44,3,22
47,Dandelion,Ella Langley,81,42,10
48,Say Why,Zach Bryan,58,18,13
49,Pop Dat Thang,DaBaby,69,49,4
50,Aperture,Harry Styles,41,4,11
51,Zoo,Shakira,56,51,15
52,No Batidao,ZXKAI & slxughter,70,52,16
53,What You Saying,Lil Uzi Vert,55,18,15
54,2.0,BTS,51,41,3
55,Self Aware,Temper City,-,55,1
56,Go Away,Weezer,92,56,2
57,Hooligan,BTS,46,32,3
58,Baile Inolvidable,Bad Bunny,75,7,16
59,Kingdom Of Fear,Cameron Whitcomb,73,59,2
60,Normal,BTS,45,33,3
61,Click Clack Symphony.,RAYE Featuring Hans Zimmer,63,61,3
62,Secondhand,Don Toliver Featuring Rema,72,32,10
63,WAGWAN,Central Cee,62,62,2
64,The Visitor,Sienna Spiro,78,46,4
65,Fool's Gold,Buffalo Traffic Jam,86,65,9
66,The Fall,Cody Johnson,97,66,5
67,The Market,Casper TNG & 100BandPlan,95,61,7
68,wgft,Gunna Featuring Burna Boy,85,46,18
69,FYA,BTS,50,34,3
70,In My Room,Julia Wolf,-,70,1
71,You And Me,Cameron Whitcomb,-,71,3
72,Jane!,The Long Faces,-,72,1
73,Taillight This Town,Owen Riegling,88,60,15
74,We Are The People,Empire Of The Sun,98,74,9
75,Turn This Truck Around,Jordan Davis,-,75,3
76,UH OH!,Loud Luxury & Natalie Jane,-,76,10
77,Head Over Boots,Jon Pardi,-,61,15
78,Steady,Bella Kay,-,78,5
79,Aliens,BTS,59,37,3
80,Be Like A Woman,Chris Rainbow,-,80,1
81,What He'll Never Have,Dylan Scott,-,76,12
82,Rethink Some Things,Luke Combs,66,39,3
83,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",-,41,6
84,ATM,Don Toliver,99,29,11
85,EOO,Bad Bunny,91,15,13
86,Sweet Boy,Malcolm Todd,-,86,1
87,Like Animals,BTS,60,38,3
88,I Thought I Saw Your Face Today,She & Him,-,37,17
89,Time's Ticking,Justin Moore,-,89,1
90,Coming Up Roses,Harry Styles,79,21,5
91,Chanel,Tyla,-,22,20
92,Boston,STELLA LEFTY,-,92,1
93,The Sick,Bella Kay,-,78,5
94,They Don't Know 'bout Us,BTS,68,45,3
95,I Run,HAVEN. Featuring Kaitlin Aragon,-,41,19
96,Don't Kill The Party,Ty Dolla $ign Featuring Quavo & Juicy J,100,39,17
97,Punch Drunk,Ye,43,43,2
98,Tiramisu,Don Toliver,-,47,8
99,"Jaiye Sajana (From ""Dhurandhar: The Revenge"")",Jasmine Sandlas & Satinder Sartaaj,74,58,3
100,"Lover, You Should've Come Over",Jeff Buckley,-,80,5
