artist_name,listeners,playcount,tags,url,found
Ariana Grande,4475990,1109080312,"pop, rnb, female vocalists, Ariana Grande, american",https://www.last.fm/music/Ariana+Grande,True
Bad Bunny,2573961,405340306,"Reggaeton, trap, latin, puerto rico, trap latino",https://www.last.fm/music/Bad+Bunny,True
Radiohead,8230090,1372592566,"rock, alternative, alternative rock, indie, electronic",https://www.last.fm/music/Radiohead,True
The Neighbourhood,3962046,399568319,"indie, indie rock, indie pop, rock, alternative",https://www.last.fm/music/The+Neighbourhood,True
Travi$ Scott,187531,11770812,"Hip-Hop, trap, rap, travis scott, hip hop",https://www.last.fm/music/Travi$+Scott,True
Labrinth,2552131,75044062,"electronic, british, rnb, dance, r&b",https://www.last.fm/music/Labrinth,True
Maluma,1010037,31922855,"Reggaeton, latin, Colombia, pop, latin pop",https://www.last.fm/music/Maluma,True
System of a Down,5816516,512543668,"alternative metal, metal, Nu Metal, rock, alternative",https://www.last.fm/music/System+of+a+Down,True
Frank Ocean,4258118,775532725,"rnb, soul, Hip-Hop, r&b, ofwgkta",https://www.last.fm/music/Frank+Ocean,True
George Ezra,1451049,32213992,"indie, folk, singer-songwriter, british, indie folk",https://www.last.fm/music/George+Ezra,True
Stray Kids,1360167,490115731,"k-pop, pop, Kpop, Korean, Hip-Hop",https://www.last.fm/music/Stray+Kids,True
TWICE,1919588,502085965,"k-pop, Kpop, Korean, pop, girl group",https://www.last.fm/music/TWICE,True
Eagles,3837387,80051042,"classic rock, rock, 70s, soft rock, country",https://www.last.fm/music/Eagles,True
BLACKPINK,2002452,313866873,"k-pop, Kpop, pop, Korean, blackpink",https://www.last.fm/music/BLACKPINK,True
Calvin Harris,5014161,208955686,"electronic, dance, electro, Disco, electronica",https://www.last.fm/music/Calvin+Harris,True
Farruko,815917,11182904,"Reggaeton, latin, Puerto Rican, puerto rico, reggaeton-boriqua",https://www.last.fm/music/Farruko,True
Halsey,2838210,222685782,"pop, indie pop, indie, alternative, female vocalists",https://www.last.fm/music/Halsey,True
The 1975,2650822,302659542,"indie, indie rock, british, alternative, rock",https://www.last.fm/music/The+1975,True
Aerosmith,4724048,131298068,"hard rock, classic rock, rock, 80s, 70s",https://www.last.fm/music/Aerosmith,True
John Denver,1774028,24954778,"country, folk, singer-songwriter, acoustic, classic rock",https://www.last.fm/music/John+Denver,True
AP Dhillon,129465,8376001,"Bhangra, canada, Indian, india, punjab",https://www.last.fm/music/AP+Dhillon,True
AC/DC,4558779,213405305,"hard rock, classic rock, rock, heavy metal, metal",https://www.last.fm/music/AC%2FDC,True
Lil Tjay,948917,63485298,"rap, Hip-Hop, trap, drill, Melodic Rap",https://www.last.fm/music/Lil+Tjay,True
Metallica,5180149,535191117,"thrash metal, heavy metal, metal, hard rock, rock",https://www.last.fm/music/Metallica,True
Foo Fighters,6368873,363516463,"rock, alternative rock, Grunge, alternative, hard rock",https://www.last.fm/music/Foo+Fighters,True
Amy Winehouse,4626978,204341609,"soul, jazz, female vocalists, british, singer-songwriter",https://www.last.fm/music/Amy+Winehouse,True
Van Halen,3014940,81537403,"hard rock, classic rock, rock, heavy metal, 80s",https://www.last.fm/music/Van+Halen,True
Becky G,1459412,25804197,"pop, female vocalists, rap, Hip-Hop, latin",https://www.last.fm/music/Becky+G,True
Bob Dylan,4305871,294151463,"folk, singer-songwriter, classic rock, folk rock, rock",https://www.last.fm/music/Bob+Dylan,True
BTS,2442333,3666947527,"k-pop, bts, Kpop, Korean, pop",https://www.last.fm/music/BTS,True
Falling in Reverse,1374737,69947296,"post-hardcore, screamo, hardcore, rock, ronnie radke",https://www.last.fm/music/Falling+in+Reverse,True
Adele,5618574,318666054,"soul, female vocalists, british, singer-songwriter, indie",https://www.last.fm/music/Adele,True
Led Zeppelin,4937117,341536698,"classic rock, hard rock, rock, 70s, Progressive rock",https://www.last.fm/music/Led+Zeppelin,True
Yusuf / Cat Stevens,1003308,17870843,,https://www.last.fm/music/Yusuf+%2F+Cat+Stevens,True
Cage the Elephant,3387296,146848468,"indie rock, alternative, rock, indie, punk rock",https://www.last.fm/music/Cage+the+Elephant,True
The White Stripes,4851515,198781247,"rock, alternative rock, alternative, indie, indie rock",https://www.last.fm/music/The+White+Stripes,True
Jimi Hendrix,4055923,140044477,"classic rock, rock, blues, psychedelic, guitar",https://www.last.fm/music/Jimi+Hendrix,True
G-Eazy,2081341,56324585,"Hip-Hop, rap, hip hop, american, The Cool Kids",https://www.last.fm/music/G-Eazy,True
Lil Peep,2201985,375833914,"cloud rap, emo rap, rap, Hip-Hop, emo",https://www.last.fm/music/Lil+Peep,True
The Who,3901796,118746492,"classic rock, rock, british, 60s, hard rock",https://www.last.fm/music/The+Who,True
Cigarettes After Sex,2885404,312964990,"dream pop, shoegaze, slowcore, Lo-Fi, indie",https://www.last.fm/music/Cigarettes+After+Sex,True
Clinton Kane,429182,9454464,"alternative, indie, folk, australian, independent",https://www.last.fm/music/Clinton+Kane,True
Kygo,1991931,59181285,"electronic, House, tropical house, chillout, downtempo",https://www.last.fm/music/Kygo,True
Guns N' Roses,5200531,204505560,"hard rock, rock, classic rock, 80s, metal",https://www.last.fm/music/Guns+N%27+Roses,True
Three Days Grace,3882704,186088650,"alternative rock, rock, hard rock, alternative, metal",https://www.last.fm/music/Three+Days+Grace,True
Nirvana,7526020,581268343,"Grunge, rock, alternative rock, alternative, 90s",https://www.last.fm/music/Nirvana,True
Nicky Jam,1071348,15943271,"Reggaeton, latin, pop, nicky jam, oldies",https://www.last.fm/music/Nicky+Jam,True
John Mayer,3760852,203087736,"singer-songwriter, acoustic, rock, pop, Acoustic Rock",https://www.last.fm/music/John+Mayer,True
Ozuna,940629,28514338,"Reggaeton, latin, puerto rico, Puerto Rican, Urbano Latino",https://www.last.fm/music/Ozuna,True
Iron Maiden,3205725,267322979,"heavy metal, metal, NWOBHM, hard rock, rock",https://www.last.fm/music/Iron+Maiden,True
Mithoon,114321,1932557,"bollywood, Hindi, Indian, world, bollywood hindi",https://www.last.fm/music/Mithoon,True
Karan Aujla,111095,8626959,"Bhangra, hip hop, desi, Hip-Hop, Indian",https://www.last.fm/music/Karan+Aujla,True
Lauv,1780977,78278366,"pop, indie pop, indie, american, jazz",https://www.last.fm/music/Lauv,True
Tom Rosenthal,901615,16040760,"folk, indie, singer-songwriter, british, indie folk",https://www.last.fm/music/Tom+Rosenthal,True
米津玄師,55609,5444286,"j-pop, japanese, J-rock, rock, niconico",https://www.last.fm/music/%E7%B1%B3%E6%B4%A5%E7%8E%84%E5%B8%AB,True
Sidhu Moose Wala,77905,3823430,"hip hop, Hip-Hop, Indian, asia, india",https://www.last.fm/music/Sidhu+Moose+Wala,True
Alan Walker,1791483,48172671,"electronic, House, EDM, dance, norwegian",https://www.last.fm/music/Alan+Walker,True
Atif Aslam,183200,8178063,"Hindi, pakistani rock, pakistani, pakistan, soft rock",https://www.last.fm/music/Atif+Aslam,True
ENHYPEN,1140740,343247954,"k-pop, Kpop, Korean, pop, boy group",https://www.last.fm/music/ENHYPEN,True
Anuv Jain,99027,5154304,"Hindi, indie, folk, guitar, Indian",https://www.last.fm/music/Anuv+Jain,True
Zara Larsson,2310019,85879416,"pop, swedish, female vocalists, Sweden, indie",https://www.last.fm/music/Zara+Larsson,True
Rammstein,3120657,320684957,"industrial metal, metal, german, industrial, rock",https://www.last.fm/music/Rammstein,True
Badshah,149289,3019874,"rap, Hip-Hop, Indian, dance, Hindi",https://www.last.fm/music/Badshah,True
The Chainsmokers,2820514,89474976,"electronic, pop, House, electro house, dance",https://www.last.fm/music/The+Chainsmokers,True
A.R. Rahman,672440,17210658,"Soundtrack, Indian, bollywood, Hindi, A R Rahman",https://www.last.fm/music/A.R.+Rahman,True
YOASOBI,890684,54095476,"j-pop, japanese, japan, pop, anime",https://www.last.fm/music/YOASOBI,True
Wham!,3300263,43905164,"pop, 80s, new wave, british, dance",https://www.last.fm/music/Wham%21,True
Alice in Chains,3454734,221470876,"Grunge, alternative rock, rock, hard rock, alternative",https://www.last.fm/music/Alice+in+Chains,True
Diljit Dosanjh,154174,6587980,"Bhangra, Indian, Punjabi, desi, All",https://www.last.fm/music/Diljit+Dosanjh,True
The Strokes,5714495,483492238,"indie rock, indie, rock, alternative, alternative rock",https://www.last.fm/music/The+Strokes,True
King,288777,3672276,"80s, new wave, pop, british, rock",https://www.last.fm/music/King,True
Neha Kakkar,95872,1253399,"bollywood, Hindi, Indian, india, female vocalists",https://www.last.fm/music/Neha+Kakkar,True
Armaan Malik,124408,3687855,"india, Ballad, Indian",https://www.last.fm/music/Armaan+Malik,True
Amit Trivedi,128187,4569122,"All, bollywood, Hindi, Soundtrack, Indian Fusion",https://www.last.fm/music/Amit+Trivedi,True
Sufjan Stevens,3919104,300850812,"folk, indie, singer-songwriter, alternative, indie rock",https://www.last.fm/music/Sufjan+Stevens,True
Doja Cat,3627143,468112358,"pop, rnb, rap, Hip-Hop, hip hop",https://www.last.fm/music/Doja+Cat,True
The Score,613756,16175269,"rock, alternative, mod, freakbeat, pop",https://www.last.fm/music/The+Score,True
Vishal-Shekhar,230089,10589123,"bollywood, Hindi, Indian, Soundtrack, india",https://www.last.fm/music/Vishal-Shekhar,True
XXXTENTACION,2823376,342427232,"Hip-Hop, rap, cloud rap, trap, emo rap",https://www.last.fm/music/XXXTENTACION,True
Anirudh Ravichander,141227,12188720,"tamil, All, kollywood, india, pop",https://www.last.fm/music/Anirudh+Ravichander,True
Hozier,3341198,283406620,"blues, indie, soul, singer-songwriter, irish",https://www.last.fm/music/Hozier,True
Billy Joel,4051438,129421270,"classic rock, singer-songwriter, rock, pop, piano",https://www.last.fm/music/Billy+Joel,True
Bring Me the Horizon,2829252,324364977,"deathcore, metalcore, screamo, hardcore, metal",https://www.last.fm/music/Bring+Me+the+Horizon,True
Yo Yo Honey Singh,121572,3810488,"rnb, Hip-Hop, Indian, bollywood, punjab",https://www.last.fm/music/Yo+Yo+Honey+Singh,True
Arijit Singh,210375,11089085,"Hindi, bollywood, Indian, Soundtrack, india",https://www.last.fm/music/Arijit+Singh,True
Mike Perry,488730,6089347,"swedish, electronic, tropical house, dance, House",https://www.last.fm/music/Mike+Perry,True
Ben Howard,1313024,47970940,"folk, acoustic, singer-songwriter, british, indie",https://www.last.fm/music/Ben+Howard,True
